Obs,end_station_name,end_station_latitude,end_station_longitude,trip,tripmin,tripcost
294,Tremont St at W. Dedham St,42.34254914,-71.07421449,827,"23,025.27","$5,756.32 "
295,Tremont St at West St,42.354979,-71.063348,"1,706","58,937.02","$14,734.25 "
296,Troy Boston,42.343749,-71.062256,747,"10,770.97","$2,692.74 "
297,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,"1,270","26,619.02","$6,654.75 "
298,Union Square - Somerville,42.3796581,-71.0939428,"1,624","28,446.97","$7,111.74 "
299,University Park,42.36264779,-71.10006094,"2,790","33,872.50","$8,468.13 "
300,University of Massachusetts Boston - Campus Center,42.31218919,-71.03648586,449,"18,676.77","$4,669.19 "
301,Upham's Corner,42.31727474,-71.06537004,191,"55,708.37","$13,927.09 "
302,Upham's Corner T Stop - Magnolia St at Dudley St,42.31869734,-71.06978148,183,"19,747.70","$4,936.93 "
303,Vassal Lane at Tobin/VLUS,42.38393225,-71.13961272,269,"35,797.27","$8,949.32 "
304,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,"1,372","25,572.45","$6,393.11 "
305,W Broadway at D St,42.3391085,-71.0514432,"1,640","25,643.82","$6,410.95 "
306,W Broadway at Dorchester St,42.33595898,-71.046229,"1,047","28,391.27","$7,097.82 "
307,Walnut Ave at Warren St,42.324081,-71.083235,188,"3,984.45",$996.11 
308,Warren St at Chelsea St,42.371848,-71.060292,"2,078","39,262.83","$9,815.71 "
309,Washington St at Bradlee St,42.29916498,-71.07345872,28,"1,226.67",$306.67 
310,Washington St at Brock St,42.34895285,-71.16031677,308,"12,113.08","$3,028.27 "
311,Washington St at Denton Terr,42.28072815,-71.13423757,60,"1,208.53",$302.13 
312,Washington St at Egremont Rd,42.34286835,-71.14127841,421,"12,522.25","$3,130.56 "
313,Washington St at Fuller St,42.28198628,-71.07147925,14,341.75,$85.44 
314,Washington St at Griggs Rd,42.33833424,-71.1305093,315,"6,644.43","$1,661.11 "
315,Washington St at Lenox St,42.33509899,-71.07903779,695,"68,730.37","$17,182.59 "
316,Washington St at Melnea Cass Blvd,42.332817,-71.081198,508,"22,740.02","$5,685.00 "
317,Washington St at Myrtle St,42.38169983,-71.08377589,432,"8,849.10","$2,212.28 "
318,Washington St at Peters Park,42.34303291,-71.0668873,"1,022","35,362.37","$8,840.59 "
319,Washington St at Rutland St,42.3385146,-71.07404083,"2,131","42,785.08","$10,696.27 "
320,Washington St at Talbot Ave,42.290333,-71.071806,62,"13,818.52","$3,454.63 "
321,Washington St at Walsh Playground,42.2771947,-71.06955614,17,"1,168.48",$292.12 
322,Washington St at Waltham St,42.341522,-71.068922,"1,445","40,037.78","$10,009.45 "
323,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,"1,383","26,408.15","$6,602.04 "
324,Wentworth Institute of Technology - Huntington Ave at Vancouver,42.33758601,-71.09627098,"1,064","45,294.92","$11,323.73 "
325,West End Park,42.36590788,-71.06446669,"1,110","21,790.37","$5,447.59 "
326,Western Ave at Richardson St,42.36178741,-71.14393111,400,"13,859.80","$3,464.95 "
327,Williams St at Washington St,42.306539,-71.107669,389,"5,951.72","$1,487.93 "
328,Wilson Square,42.385582,-71.113341,644,"9,770.18","$2,442.55 "
